Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	Assembly Accession Genbank	FTP path genbank	Assembly Accession RefSeq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	Partition	Protein Count	PathoPhenotype
Bacteroides sp. AF25-17LB	AF25-17LB	ENA	2292922.0	Bacteroides sp. AF25-17LB	GCA_003603015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/015/GCA_003603015.1_ASM360301v1	GCF_003603015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/015/GCF_003603015.1_ASM360301v1	2292922	Bacteroides sp. AF25-17LB	strain=AF25-17LB	latest	Scaffold	2018/10/01	3	4192	Pathogenic
Bacteroides sp. AF27-10BH	AF27-10BH	ENA	2292927.0	Bacteroides sp. AF27-10BH	GCA_003603055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/055/GCA_003603055.1_ASM360305v1	GCF_003603055.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/055/GCF_003603055.1_ASM360305v1	2292927	Bacteroides sp. AF27-10BH	strain=AF27-10BH	latest	Scaffold	2018/10/01	3	3938	Pathogenic
Bacteroides sp. AF20-13LB	AF20-13LB	ENA	2292921.0	Bacteroides sp. AF20-13LB	GCA_003603065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/065/GCA_003603065.1_ASM360306v1	GCF_003603065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/065/GCF_003603065.1_ASM360306v1	2292921	Bacteroides sp. AF20-13LB	strain=AF20-13LB	latest	Scaffold	2018/10/01	3	4294	Pathogenic
Bacteroides sp. AF18-33	AF18-33	ENA	2292920.0	Bacteroides sp. AF18-33	GCA_003603175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/175/GCA_003603175.1_ASM360317v1	GCF_003603175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/175/GCF_003603175.1_ASM360317v1	2292920	Bacteroides sp. AF18-33	strain=AF18-33	latest	Scaffold	2018/10/01	3	4147	Pathogenic
Bacteroides sp. AF16-7	AF16-7	ENA	2292918.0	Bacteroides sp. AF16-7	GCA_003603315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/315/GCA_003603315.1_ASM360331v1	GCF_003603315.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/315/GCF_003603315.1_ASM360331v1	2292918	Bacteroides sp. AF16-7	strain=AF16-7	latest	Scaffold	2018/10/01	3	4419	Pathogenic
Bacteroides sp. AF04-22	AF04-22	ENA	2292913.0	Bacteroides sp. AF04-22	GCA_003603375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/375/GCA_003603375.1_ASM360337v1	GCF_003603375.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/375/GCF_003603375.1_ASM360337v1	2292913	Bacteroides sp. AF04-22	strain=AF04-22	latest	Scaffold	2018/10/01	3	3975	Pathogenic
Bacteroides sp. AM44-19	AM44-19	ENA	2292953.0	Bacteroides sp. AM44-19	GCA_003603395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/395/GCA_003603395.1_ASM360339v1	GCF_003603395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/395/GCF_003603395.1_ASM360339v1	2292953	Bacteroides sp. AM44-19	strain=AM44-19	latest	Scaffold	2018/10/01	3	4215	Pathogenic
Streptococcus sp. AM43-2AT	AM43-2AT	ENA	2293247.0	Streptococcus sp. AM43-2AT	GCA_003603405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/405/GCA_003603405.1_ASM360340v1	GCF_003603405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/405/GCF_003603405.1_ASM360340v1	2293247	Streptococcus sp. AM43-2AT	strain=AM43-2AT	latest	Scaffold	2018/10/01	1	1963	Pathogenic
Bacteroides sp. AM37-9	AM37-9	ENA	2292951.0	Bacteroides sp. AM37-9	GCA_003603455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/455/GCA_003603455.1_ASM360345v1	GCF_003603455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/455/GCF_003603455.1_ASM360345v1	2292951	Bacteroides sp. AM37-9	strain=AM37-9	latest	Scaffold	2018/10/01	5	5092	Pathogenic
Bacteroides sp. AM41-16	AM41-16	ENA	2292952.0	Bacteroides sp. AM41-16	GCA_003603495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/495/GCA_003603495.1_ASM360349v1	GCF_003603495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/495/GCF_003603495.1_ASM360349v1	2292952	Bacteroides sp. AM41-16	strain=AM41-16	latest	Scaffold	2018/10/01	3	4205	Pathogenic
Bacteroides sp. AM32-11AC	AM32-11AC	ENA	2292950.0	Bacteroides sp. AM32-11AC	GCA_003603515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/515/GCA_003603515.1_ASM360351v1	GCF_003603515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/515/GCF_003603515.1_ASM360351v1	2292950	Bacteroides sp. AM32-11AC	strain=AM32-11AC	latest	Scaffold	2018/10/01	3	3856	Pathogenic
Bacteroides sp. AM30-16	AM30-16	ENA	2292949.0	Bacteroides sp. AM30-16	GCA_003603545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/545/GCA_003603545.1_ASM360354v1	GCF_003603545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/545/GCF_003603545.1_ASM360354v1	2292949	Bacteroides sp. AM30-16	strain=AM30-16	latest	Scaffold	2018/10/01	3	3976	Pathogenic
Streptococcus sp. AM28-20	AM28-20	ENA	2293246.0	Streptococcus sp. AM28-20	GCA_003603595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/595/GCA_003603595.1_ASM360359v1	GCF_003603595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/595/GCF_003603595.1_ASM360359v1	2293246	Streptococcus sp. AM28-20	strain=AM28-20	latest	Scaffold	2018/10/01	1	1924	Pathogenic
Bacteroides sp. AF35-22	AF35-22	ENA	2292932.0	Bacteroides sp. AF35-22	GCA_003603935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/935/GCA_003603935.1_ASM360393v1	GCF_003603935.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/935/GCF_003603935.1_ASM360393v1	2292932	Bacteroides sp. AF35-22	strain=AF35-22	latest	Scaffold	2018/10/01	3	4019	Pathogenic
Bacteroides sp. AF36-11BH	AF36-11BH	ENA	2292933.0	Bacteroides sp. AF36-11BH	GCA_003603955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/955/GCA_003603955.1_ASM360395v1	GCF_003603955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/955/GCF_003603955.1_ASM360395v1	2292933	Bacteroides sp. AF36-11BH	strain=AF36-11BH	latest	Scaffold	2018/10/01	3	4036	Pathogenic
Bacteroides sp. AF33-23	AF33-23	ENA	2292930.0	Bacteroides sp. AF33-23	GCA_003603995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/603/995/GCA_003603995.1_ASM360399v1	GCF_003603995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/603/995/GCF_003603995.1_ASM360399v1	2292930	Bacteroides sp. AF33-23	strain=AF33-23	latest	Scaffold	2018/10/01	3	4097	Pathogenic
Bacteroides sp. OF03-11BH	OF03-11BH	ENA	2292957.0	Bacteroides sp. OF03-11BH	GCA_003604005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/604/005/GCA_003604005.1_ASM360400v1	GCF_003604005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/604/005/GCF_003604005.1_ASM360400v1	2292957	Bacteroides sp. OF03-11BH	strain=OF03-11BH	latest	Scaffold	2018/10/01	3	5521	Pathogenic
Clostridium sp. AF15-41	AF15-41	ENA	2292996.0	Clostridium sp. AF15-41	GCA_003604095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/604/095/GCA_003604095.1_ASM360409v1	GCF_003604095.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/604/095/GCF_003604095.1_ASM360409v1	2292996	Clostridium sp. AF15-41	strain=AF15-41	latest	Scaffold	2018/10/01	4	2366	Pathogenic
Streptococcus pneumoniae//Streptococcus pseudopneumoniae	Spain2270	ENA, NCBI	257758.0	Streptococcus pneumoniae//Streptococcus pseudopneumoniae	GCA_003605455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/605/455/GCA_003605455.1_ASM360545v1	GCF_003605455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/605/455/GCF_003605455.1_ASM360545v1	257758	Streptococcus pseudopneumoniae	strain=Spain2270	latest	Contig	2018/10/02	1	2292	Pathogenic
Veillonella atypica	KHUD_V1	Patric (diseases)	39777.0	V. atypica	GCA_003605975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/605/975/GCA_003605975.1_ASM360597v1	GCF_003605975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/605/975/GCF_003605975.1_ASM360597v1	39777	Veillonella atypica	strain=KHUD_V1	latest	Scaffold	2018/10/02	4	2013	Pathogenic
Listeria monocytogenes	CFSAN003456	ENA, NCBI	1639.0	L. monocytogenes	GCA_003608995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/608/995/GCA_003608995.1_ASM360899v1	GCF_003608995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/608/995/GCF_003608995.1_ASM360899v1	1639	Listeria monocytogenes	strain=CFSAN003456	latest	Contig	2018/10/02	5	2821	Pathogenic
Mycobacteroides abscessus	BD	Patric (diseases)	1091046.0	M. abscessus	GCA_003609715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/715/GCA_003609715.1_ASM360971v1	GCF_003609715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/715/GCF_003609715.1_ASM360971v1	1091046	Mycobacteroides abscessus subsp. bolletii BD	strain=BD	latest	Complete Genome	2017/12/18	2	4952	Pathogenic
Prevotella melaninogenica	GAI 07411	ENA, Patric (diseases)	28132.0	P. melaninogenica	GCA_003609775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/609/775/GCA_003609775.1_ASM360977v1	GCF_003609775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/609/775/GCF_003609775.1_ASM360977v1	28132	Prevotella melaninogenica	strain=GAI 07411	latest	Complete Genome	2017/09/01	5	2411	Pathogenic
Pseudomonas aeruginosa	Pa1076	ENA, NCBI, Patric (diseases)	287.0	P. aeruginosa	GCA_003611405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/611/405/GCA_003611405.1_ASM361140v1	GCF_003611405.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/611/405/GCF_003611405.1_ASM361140v1	287	Pseudomonas aeruginosa	strain=Pa1076	latest	Scaffold	2018/10/03	4	6967	Pathogenic
Paracoccus yeei	CCUG 32053	Patric (diseases)	147645.0	P. yeei	GCA_003612915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/612/915/GCA_003612915.1_ASM361291v1	GCF_003612915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/915/GCF_003612915.1_ASM361291v1	147645	Paracoccus yeei	strain=CCUG 32053	latest	Complete Genome	2018/10/04	3	4561	Pathogenic
Bergeyella cardium	1	Patric (diseases)	1585976.0	B. cardium	GCA_003614945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/614/945/GCA_003614945.1_ASM361494v1	GCF_003614945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/614/945/GCF_003614945.1_ASM361494v1	1585976	Bergeyella cardium	strain=1	latest	Contig	2018/10/05	2	1767	Pathogenic
Acinetobacter baumannii	249	ENA, NCBI, Patric (diseases)	470.0	A. baumannii	GCA_003615295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/615/295/GCA_003615295.1_ASM361529v1	GCF_003615295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/615/295/GCF_003615295.1_ASM361529v1	470	Acinetobacter baumannii	strain=249	latest	Scaffold	2018/10/05	1	4371	Pathogenic
Moraxella catarrhalis	COPD_M97	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003625615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/625/615/GCA_003625615.1_ASM362561v1	GCF_003625615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/625/615/GCF_003625615.1_ASM362561v1	480	Moraxella catarrhalis	strain=COPD_M97	latest	Contig	2018/10/06	1	1833	Pathogenic
Moraxella catarrhalis	COPD_M29	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003625715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/625/715/GCA_003625715.1_ASM362571v1	GCF_003625715.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/625/715/GCF_003625715.1_ASM362571v1	480	Moraxella catarrhalis	strain=COPD_M29	latest	Contig	2018/10/06	1	1813	Pathogenic
Moraxella catarrhalis	COPD_M1	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003625895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/625/895/GCA_003625895.1_ASM362589v1	GCF_003625895.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/625/895/GCF_003625895.1_ASM362589v1	480	Moraxella catarrhalis	strain=COPD_M1	latest	Contig	2018/10/06	1	1674	Pathogenic
Moraxella catarrhalis	COPD_M142	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003625915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/625/915/GCA_003625915.1_ASM362591v1	GCF_003625915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/625/915/GCF_003625915.1_ASM362591v1	480	Moraxella catarrhalis	strain=COPD_M142	latest	Contig	2018/10/06	1	1776	Pathogenic
Moraxella catarrhalis	COPD_M112	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003626005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/626/005/GCA_003626005.1_ASM362600v1	GCF_003626005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/005/GCF_003626005.1_ASM362600v1	480	Moraxella catarrhalis	strain=COPD_M112	latest	Contig	2018/10/06	1	1788	Pathogenic
Moraxella catarrhalis	COPD_M49	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003626335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/626/335/GCA_003626335.1_ASM362633v1	GCF_003626335.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/335/GCF_003626335.1_ASM362633v1	480	Moraxella catarrhalis	strain=COPD_M49	latest	Contig	2018/10/06	1	1744	Pathogenic
Moraxella catarrhalis	COPD_M37	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003626425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/626/425/GCA_003626425.1_ASM362642v1	GCF_003626425.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/425/GCF_003626425.1_ASM362642v1	480	Moraxella catarrhalis	strain=COPD_M37	latest	Contig	2018/10/06	1	1728	Pathogenic
Moraxella catarrhalis	COPD_M25	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003626455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/626/455/GCA_003626455.1_ASM362645v1	GCF_003626455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/455/GCF_003626455.1_ASM362645v1	480	Moraxella catarrhalis	strain=COPD_M25	latest	Contig	2018/10/06	1	1747	Pathogenic
Moraxella catarrhalis	COPD_M32	ENA, Patric (diseases)	480.0	M. catarrhalis	GCA_003626475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/626/475/GCA_003626475.1_ASM362647v1	GCF_003626475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/475/GCF_003626475.1_ASM362647v1	480	Moraxella catarrhalis	strain=COPD_M32	latest	Contig	2018/10/06	1	1769	Pathogenic
Streptococcus chosunense	ChDC B353	ENA	2707003.0	S. chosunense	GCA_003626515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/626/515/GCA_003626515.1_ASM362651v1	GCF_003626515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/626/515/GCF_003626515.1_ASM362651v1	2707003	Streptococcus chosunense	strain=ChDC B353	latest	Scaffold	2018/10/07	5	1749	Pathogenic
Streptococcus koreensis	JS71//KCOM 2890 (=JS71)	ENA, Patric (diseases)	2382163.0	S. koreensis	GCA_003627135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/135/GCA_003627135.1_ASM362713v1	GCF_003627135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/135/GCF_003627135.1_ASM362713v1	2382163	Streptococcus koreensis	strain=KCOM 2890 (=JS71)	latest	Complete Genome	2018/10/07	1	1868	Pathogenic
Streptococcus gwangjuense	ChDC B345//KCOM 1679 (=ChDC B345)	ENA, Patric (diseases)	1433513.0	S. gwangjuense	GCA_003627155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/155/GCA_003627155.1_ASM362715v1	GCF_003627155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/155/GCF_003627155.1_ASM362715v1	1433513	Streptococcus gwangjuense	strain=KCOM 1679 (=ChDC B345)	latest	Complete Genome	2018/10/07	5	1850	Pathogenic
Acinetobacter baumannii	VB29123	ENA, NCBI, Patric (diseases)	470.0	A. baumannii	GCA_003627465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/627/465/GCA_003627465.1_ASM362746v1	GCF_003627465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/627/465/GCF_003627465.1_ASM362746v1	470	Acinetobacter baumannii	strain=VB29123	latest	Contig	2018/10/09	1	3954	Pathogenic
Escherichia coli	BA3358	ENA, NCBI, Patric (diseases)	562.0	E. coli	GCA_003628255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/628/255/GCA_003628255.1_ASM362825v1	GCF_003628255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/628/255/GCF_003628255.1_ASM362825v1	562	Escherichia coli	strain=BA3358	latest	Contig	2018/10/11	5	4733	Pathogenic
Pseudomonas aeruginosa	HUM-291	ENA, NCBI	287.0	P. aeruginosa	GCA_003628875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/628/875/GCA_003628875.1_ASM362887v1	GCF_003628875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/628/875/GCF_003628875.1_ASM362887v1	287	Pseudomonas aeruginosa	strain=HUM-291	latest	Contig	2018/10/11	4	6891	Pathogenic
Pseudomonas aeruginosa	HUM-339	ENA, NCBI	287.0	P. aeruginosa	GCA_003628905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/628/905/GCA_003628905.1_ASM362890v1	GCF_003628905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/628/905/GCF_003628905.1_ASM362890v1	287	Pseudomonas aeruginosa	strain=HUM-339	latest	Contig	2018/10/11	4	6567	Pathogenic
Pseudomonas aeruginosa	HUM-303	ENA, NCBI	287.0	P. aeruginosa	GCA_003629005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/629/005/GCA_003629005.1_ASM362900v1	GCF_003629005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/629/005/GCF_003629005.1_ASM362900v1	287	Pseudomonas aeruginosa	strain=HUM-303	latest	Contig	2018/10/11	4	5950	Pathogenic
Pseudomonas aeruginosa	HUM-344	ENA, NCBI	287.0	P. aeruginosa	GCA_003629395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/629/395/GCA_003629395.1_ASM362939v1	GCF_003629395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/629/395/GCF_003629395.1_ASM362939v1	287	Pseudomonas aeruginosa	strain=HUM-344	latest	Contig	2018/10/11	4	5780	Pathogenic
Pseudomonas aeruginosa	HUM-285	ENA, NCBI	287.0	P. aeruginosa	GCA_003629735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/629/735/GCA_003629735.1_ASM362973v1	GCF_003629735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/629/735/GCF_003629735.1_ASM362973v1	287	Pseudomonas aeruginosa	strain=HUM-285	latest	Contig	2018/10/11	4	5972	Pathogenic
Pseudomonas aeruginosa	HUM-298	ENA, NCBI	287.0	P. aeruginosa	GCA_003629795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/629/795/GCA_003629795.1_ASM362979v1	GCF_003629795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/629/795/GCF_003629795.1_ASM362979v1	287	Pseudomonas aeruginosa	strain=HUM-298	latest	Contig	2018/10/11	4	6547	Pathogenic
Pseudomonas aeruginosa	HUM-401	ENA, NCBI	287.0	P. aeruginosa	GCA_003630035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/630/035/GCA_003630035.1_ASM363003v1	GCF_003630035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/630/035/GCF_003630035.1_ASM363003v1	287	Pseudomonas aeruginosa	strain=HUM-401	latest	Contig	2018/10/11	4	6863	Pathogenic
Pseudomonas aeruginosa	HUM-337	ENA, NCBI	287.0	P. aeruginosa	GCA_003630195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/630/195/GCA_003630195.1_ASM363019v1	GCF_003630195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/630/195/GCF_003630195.1_ASM363019v1	287	Pseudomonas aeruginosa	strain=HUM-337	latest	Contig	2018/10/11	4	6033	Pathogenic
Pseudomonas aeruginosa	HUM-267	ENA, NCBI	287.0	P. aeruginosa	GCA_003630275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/630/275/GCA_003630275.1_ASM363027v1	GCF_003630275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/630/275/GCF_003630275.1_ASM363027v1	287	Pseudomonas aeruginosa	strain=HUM-267	latest	Contig	2018/10/11	4	6258	Pathogenic
Pseudomonas aeruginosa	HUM-293	ENA, NCBI	287.0	P. aeruginosa	GCA_003630525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/630/525/GCA_003630525.1_ASM363052v1	GCF_003630525.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/630/525/GCF_003630525.1_ASM363052v1	287	Pseudomonas aeruginosa	strain=HUM-293	latest	Contig	2018/10/11	4	6546	Pathogenic
Pseudomonas aeruginosa	HUM-8 repl1	ENA, NCBI	287.0	P. aeruginosa	GCA_003630645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/630/645/GCA_003630645.1_ASM363064v1	GCF_003630645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/630/645/GCF_003630645.1_ASM363064v1	287	Pseudomonas aeruginosa	strain=HUM-8 repl1	latest	Contig	2018/10/11	4	5998	Pathogenic
Pseudomonas aeruginosa	HUM-317-D2	ENA, NCBI	287.0	P. aeruginosa	GCA_003630925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/630/925/GCA_003630925.1_ASM363092v1	GCF_003630925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/630/925/GCF_003630925.1_ASM363092v1	287	Pseudomonas aeruginosa	strain=HUM-317-D2	latest	Contig	2018/10/11	4	6480	Pathogenic
Pseudomonas aeruginosa	HUM-398	ENA, NCBI	287.0	P. aeruginosa	GCA_003631235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/631/235/GCA_003631235.1_ASM363123v1	GCF_003631235.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/631/235/GCF_003631235.1_ASM363123v1	287	Pseudomonas aeruginosa	strain=HUM-398	latest	Contig	2018/10/11	4	7326	Pathogenic
Pseudomonas aeruginosa	HUM-278	ENA, NCBI	287.0	P. aeruginosa	GCA_003631245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/631/245/GCA_003631245.1_ASM363124v1	GCF_003631245.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/631/245/GCF_003631245.1_ASM363124v1	287	Pseudomonas aeruginosa	strain=HUM-278	latest	Contig	2018/10/11	4	6026	Pathogenic
Pseudomonas aeruginosa	HUM-334	ENA, NCBI	287.0	P. aeruginosa	GCA_003631455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/631/455/GCA_003631455.1_ASM363145v1	GCF_003631455.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/631/455/GCF_003631455.1_ASM363145v1	287	Pseudomonas aeruginosa	strain=HUM-334	latest	Contig	2018/10/11	4	6193	Pathogenic
Pseudomonas aeruginosa	HUM-12-D1	ENA, NCBI	287.0	P. aeruginosa	GCA_003632005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/632/005/GCA_003632005.1_ASM363200v1	GCF_003632005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/632/005/GCF_003632005.1_ASM363200v1	287	Pseudomonas aeruginosa	strain=HUM-12-D1	latest	Contig	2018/10/11	4	6835	Pathogenic
Pseudomonas aeruginosa	HUM-294	ENA, NCBI	287.0	P. aeruginosa	GCA_003632045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/632/045/GCA_003632045.1_ASM363204v1	GCF_003632045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/632/045/GCF_003632045.1_ASM363204v1	287	Pseudomonas aeruginosa	strain=HUM-294	latest	Contig	2018/10/11	4	5975	Pathogenic
Pseudomonas aeruginosa	HUM-343	ENA, NCBI	287.0	P. aeruginosa	GCA_003632215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/632/215/GCA_003632215.1_ASM363221v1	GCF_003632215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/632/215/GCF_003632215.1_ASM363221v1	287	Pseudomonas aeruginosa	strain=HUM-343	latest	Contig	2018/10/11	4	6301	Pathogenic
Pseudomonas aeruginosa	HUM-242	ENA, NCBI	287.0	P. aeruginosa	GCA_003632635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/632/635/GCA_003632635.1_ASM363263v1	GCF_003632635.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/632/635/GCF_003632635.1_ASM363263v1	287	Pseudomonas aeruginosa	strain=HUM-242	latest	Contig	2018/10/11	4	5931	Pathogenic
