Species_DBs	Strain_DBs	Origin DB	Taxonomy ID	Species abb.	assembly_accession_genbank	FTP path genbank	assembly_accession_refseq	FTP path refseq	TaxID refseq	Organism Name Refseq	Infraspecific Name Refseq	version_status_refseq	assembly_level_refseq	seq_rel_date_refseq	PathoPhenotype
Escherichia coli	2226st1_F6_2226SCRN_200925	NCBI	562	E. coli	GCA_039758275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/758/275/GCA_039758275.1_ASM3975827v1	GCF_039758275.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/758/275/GCF_039758275.1_ASM3975827v1	562	Escherichia coli	strain=2226st1_F6_2226SCRN_200925	latest	Scaffold	2024-05-22	Pathogenic
Pseudomonas aeruginosa	GN-155	NCBI	287	P. aeruginosa	GCA_036879545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/879/545/GCA_036879545.1_ASM3687954v1	GCF_036879545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/879/545/GCF_036879545.1_ASM3687954v1	287	Pseudomonas aeruginosa	strain=GN-155	latest	Contig	2024-02-26	Pathogenic
Escherichia coli	2024CK-1897675	NCBI	562	E. coli	GCA_045347625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/045/347/625/GCA_045347625.1_ASM4534762v1	GCF_045347625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/045/347/625/GCF_045347625.1_ASM4534762v1	562	Escherichia coli	strain=2024CK-1897675	latest	Complete Genome	2024-11-27	Pathogenic
Enterobacter hormaechei	KE10192	NCBI	158836	E. hormaechei	GCA_040409045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/409/045/GCA_040409045.1_ASM4040904v1	GCF_040409045.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/409/045/GCF_040409045.1_ASM4040904v1	158836	Enterobacter hormaechei	strain=KE10192	latest	Contig	2024-06-27	Pathogenic
Escherichia coli	FAWRS2	NCBI	562	E. coli	GCA_043660175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/660/175/GCA_043660175.1_ASM4366017v1	GCF_043660175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/660/175/GCF_043660175.1_ASM4366017v1	562	Escherichia coli	strain=FAWRS2	latest	Scaffold	2024-10-23	Pathogenic
Citrobacter freundii	FFMG-21-01-2218	NCBI	545	C. freundii	GCA_964210415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/210/415/GCA_964210415.1_FFMG_21-01-2218.1	GCF_964210415.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/210/415/GCF_964210415.1_FFMG_21-01-2218.1	545	Citrobacter koseri	strain=FFMG-21-01-2218	latest	Contig	2024-07-30	Pathogenic
Klebsiella pneumoniae	KLEPN-0175	NCBI	573	K. pneumoniae	GCA_040422825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/422/825/GCA_040422825.1_ASM4042282v1	GCF_040422825.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/422/825/GCF_040422825.1_ASM4042282v1	573	Klebsiella pneumoniae	strain=KLEPN-0175	latest	Contig	2024-06-28	Pathogenic
Streptococcus pneumoniae	Spn18046	NCBI	1313	S. pneumoniae	GCA_039561495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/561/495/GCA_039561495.1_ASM3956149v1	GCF_039561495.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/561/495/GCF_039561495.1_ASM3956149v1	1313	Streptococcus pneumoniae	strain=Spn18046	latest	Contig	2024-05-07	Pathogenic
Clostridium perfringens	RTP21428st2_D9_RTP21428_210409	NCBI	1502	C. perfringens	GCA_039753255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/753/255/GCA_039753255.1_ASM3975325v1	GCF_039753255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/753/255/GCF_039753255.1_ASM3975325v1	1502	Clostridium perfringens	strain=RTP21428st2_D9_RTP21428_210409	latest	Scaffold	2024-05-22	Pathogenic
Klebsiella pneumoniae	KP52_L5_46.22_ST3096_NDM5_OXA48	NCBI	573	K. pneumoniae	GCA_035596915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/596/915/GCA_035596915.1_ASM3559691v1	GCF_035596915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/596/915/GCF_035596915.1_ASM3559691v1	573	Klebsiella pneumoniae	strain=KP52_L5_46.22_ST3096_NDM5_OXA48	latest	Complete Genome	2024-01-11	Pathogenic
Klebsiella pneumoniae	CPO071	NCBI	244366	K. pneumoniae	GCA_030187125.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/187/125/GCA_030187125.2_NA	GCF_030187125.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/187/125/GCF_030187125.2_NA	244366	Klebsiella variicola	strain=CPO071	latest	Contig	2024-01-24	Pathogenic
Acinetobacter baumannii	HUC-109	NCBI, Patric (diseases)	470	A. baumannii	GCA_037007685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/007/685/GCA_037007685.1_ASM3700768v1	GCF_037007685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/007/685/GCF_037007685.1_ASM3700768v1	470	Acinetobacter baumannii	strain=HUC-109	latest	Scaffold	2024-03-05	Pathogenic
Campylobacter jejuni	22CJ11	NCBI	197	C. jejuni	GCA_040188355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/188/355/GCA_040188355.1_ASM4018835v1	GCF_040188355.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/188/355/GCF_040188355.1_ASM4018835v1	197	Campylobacter jejuni	strain=22CJ11	latest	Contig	2024-06-14	Pathogenic
Shewanella algae	SYCDC18SW07	NCBI, Patric (diseases)	38313	S. algae	GCA_037006905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/006/905/GCA_037006905.1_ASM3700690v1	GCF_037006905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/006/905/GCF_037006905.1_ASM3700690v1	38313	Shewanella algae	strain=SYCDC18SW07	latest	Contig	2024-03-05	Pathogenic
Escherichia coli	MHK10093	NCBI	562	E. coli	GCA_039058325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/058/325/GCA_039058325.1_ASM3905832v1	GCF_039058325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/058/325/GCF_039058325.1_ASM3905832v1	562	Escherichia coli	strain=MHK10093	latest	Contig	2024-05-02	Pathogenic
Acinetobacter baumannii	FFMG-942-12-21	NCBI	470	A. baumannii	GCA_964206995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/206/995/GCA_964206995.1_FFMG_942-12-21.1	GCF_964206995.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/206/995/GCF_964206995.1_FFMG_942-12-21.1	470	Acinetobacter baumannii	strain=FFMG-942-12-21	latest	Contig	2024-07-28	Pathogenic
Enterococcus faecalis	MI20331329	NCBI	1351	E. faecalis	GCA_038898835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/038/898/835/GCA_038898835.1_ASM3889883v1	GCF_038898835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/038/898/835/GCF_038898835.1_ASM3889883v1	1351	Enterococcus faecalis	strain=MI20331329	latest	Contig	2024-04-30	Pathogenic
Elizabethkingia anophelis	NT08	NCBI	1117645	E. anophelis	GCA_040786175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/786/175/GCA_040786175.1_ASM4078617v1	GCF_040786175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/786/175/GCF_040786175.1_ASM4078617v1	1117645	Elizabethkingia anophelis	strain=NT08	latest	Contig	2024-07-20	Pathogenic
Streptococcus pneumoniae	PF1	NCBI	1313	S. pneumoniae	GCA_036322915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/322/915/GCA_036322915.1_ASM3632291v1	GCF_036322915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/322/915/GCF_036322915.1_ASM3632291v1	1313	Streptococcus pneumoniae	strain=PF1	latest	Complete Genome	2023-08-15	Pathogenic
Aeromonas caviae	FUJ01743	Patric (diseases)	648	A. caviae	GCA_035203905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/203/905/GCA_035203905.1_ASM3520390v1	GCF_035203905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/203/905/GCF_035203905.1_ASM3520390v1	648	Aeromonas caviae	strain=FUJ01743	latest	Contig	2024-01-08	Pathogenic
Enterobacter cloacae complex sp. 2024EL-00243	2024EL-00243	ENA	3374277	Enterobacter cloacae complex sp. 2024EL-00243	GCA_043945025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/945/025/GCA_043945025.1_ASM4394502v1	GCF_043945025.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/945/025/GCF_043945025.1_ASM4394502v1	3374277	Enterobacter cloacae complex sp. 2024EL-00243	strain=2024EL-00243	latest	Contig	2024-10-26	Pathogenic
Stenotrophomonas maltophilia	SMYL87	NCBI	40324	S. maltophilia	GCA_036319125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/319/125/GCA_036319125.1_ASM3631912v1	GCF_036319125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/319/125/GCF_036319125.1_ASM3631912v1	40324	Stenotrophomonas maltophilia	strain=SMYL87	latest	Scaffold	2024-01-31	Pathogenic
Escherichia coli	NMI1047-21	NCBI	562	E. coli	GCA_041079145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/079/145/GCA_041079145.1_ASM4107914v1	GCF_041079145.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/079/145/GCF_041079145.1_ASM4107914v1	562	Escherichia coli	strain=NMI1047-21	latest	Contig	2024-08-06	Pathogenic
Escherichia coli	2017.18.04CC	NCBI	562	E. coli	GCA_036506435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/506/435/GCA_036506435.1_ASM3650643v1	GCF_036506435.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/506/435/GCF_036506435.1_ASM3650643v1	562	Escherichia coli	strain=2017.18.04CC	latest	Complete Genome	2023-11-04	Pathogenic
Escherichia coli	8316_F	NCBI, Patric (diseases)	562	E. coli	GCA_036863255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/863/255/GCA_036863255.1_ASM3686325v1	GCF_036863255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/863/255/GCF_036863255.1_ASM3686325v1	562	Escherichia coli	strain=8316_F	latest	Scaffold	2024-02-23	Pathogenic
Campylobacter jejuni	Z212063	NCBI, Patric (diseases)	197	C. jejuni	GCA_036578265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/578/265/GCA_036578265.1_ASM3657826v1	GCF_036578265.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/578/265/GCF_036578265.1_ASM3657826v1	197	Campylobacter jejuni	strain=Z212063	latest	Contig	2024-02-12	Pathogenic
Enterobacter hormaechei	CDS6107	NCBI	158836	E. hormaechei	GCA_036912015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/912/015/GCA_036912015.1_ASM3691201v1	GCF_036912015.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/912/015/GCF_036912015.1_ASM3691201v1	158836	Enterobacter hormaechei	strain=CDS6107	latest	Contig	2024-02-28	Pathogenic
Acinetobacter baumannii	17-9	NCBI	106654	A. baumannii	GCA_043838955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/838/955/GCA_043838955.1_ASM4383895v1	GCF_043838955.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/838/955/GCF_043838955.1_ASM4383895v1	106654	Acinetobacter nosocomialis	strain=17-9	latest	Scaffold	2024-10-25	Pathogenic
Aeromonas hydrophila	FUJ80894	NCBI, Patric (diseases)	644	A. hydrophila	GCA_035204665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/204/665/GCA_035204665.1_ASM3520466v1	GCF_035204665.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/204/665/GCF_035204665.1_ASM3520466v1	644	Aeromonas hydrophila	strain=FUJ80894	latest	Contig	2024-01-08	Pathogenic
Listeria monocytogenes	GIMC2153:LmcSBH-1	NCBI	1639	L. monocytogenes	GCA_037623735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/623/735/GCA_037623735.1_ASM3762373v1	GCF_037623735.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/623/735/GCF_037623735.1_ASM3762373v1	1639	Listeria monocytogenes	strain=GIMC2153:LmcSBH-1	latest	Contig	2024-03-26	Pathogenic
Pseudomonas aeruginosa	A103	NCBI	287	P. aeruginosa	GCA_041355835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/355/835/GCA_041355835.1_ASM4135583v1	GCF_041355835.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/355/835/GCF_041355835.1_ASM4135583v1	287	Pseudomonas aeruginosa	strain=A103	latest	Scaffold	2024-08-19	Pathogenic
Aeromonas caviae	FUJ01228	Patric (diseases)	648	A. caviae	GCA_035202775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/202/775/GCA_035202775.1_ASM3520277v1	GCF_035202775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/202/775/GCF_035202775.1_ASM3520277v1	648	Aeromonas caviae	strain=FUJ01228	latest	Contig	2024-01-08	Pathogenic
Streptococcus agalactiae	R31-MTase2	NCBI	1311	S. agalactiae	GCA_035818865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/818/865/GCA_035818865.1_ASM3581886v1	GCF_035818865.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/818/865/GCF_035818865.1_ASM3581886v1	1311	Streptococcus agalactiae	strain=R31-MTase2	latest	Contig	2024-01-18	Pathogenic
Providencia alcalifaciens	dmpro_s621a	NCBI	588	P. alcalifaciens	GCA_040295125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/295/125/GCA_040295125.1_ASM4029512v1	GCF_040295125.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/295/125/GCF_040295125.1_ASM4029512v1	588	Providencia stuartii	strain=dmpro_s621a	latest	Contig	2024-06-24	Pathogenic
Escherichia coli	PK-5163	NCBI	562	E. coli	GCA_042882655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/882/655/GCA_042882655.1_ASM4288265v1	GCF_042882655.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/882/655/GCF_042882655.1_ASM4288265v1	562	Escherichia coli	strain=PK-5163	latest	Contig	2024-10-09	Pathogenic
Bacillus cereus	Sample14	NCBI	1396	B. cereus	GCA_036873205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/873/205/GCA_036873205.1_ASM3687320v1	GCF_036873205.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/873/205/GCF_036873205.1_ASM3687320v1	1396	Bacillus cereus	strain=Sample14	latest	Scaffold	2024-02-26	Pathogenic
Aeromonas caviae	FUJ01270	Patric (diseases)	648	A. caviae	GCA_035204215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/204/215/GCA_035204215.1_ASM3520421v1	GCF_035204215.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/204/215/GCF_035204215.1_ASM3520421v1	648	Aeromonas caviae	strain=FUJ01270	latest	Contig	2024-01-08	Pathogenic
Streptococcus pneumoniae	LACPHL-SPEC-2024-00520	NCBI	1313	S. pneumoniae	GCA_041449675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/449/675/GCA_041449675.1_ASM4144967v1	GCF_041449675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/449/675/GCF_041449675.1_ASM4144967v1	1313	Streptococcus pneumoniae	strain=LACPHL-SPEC-2024-00520	latest	Contig	2024-08-25	Pathogenic
Acinetobacter baumannii	TZ-06	NCBI	48296	A. baumannii	GCA_039887775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/887/775/GCA_039887775.1_ASM3988777v1	GCF_039887775.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/887/775/GCF_039887775.1_ASM3988777v1	48296	Acinetobacter pittii	strain=TZ-06	latest	Scaffold	2024-05-28	Pathogenic
Enterobacter sichuanensis	ECC-263	NCBI	2071710	E. sichuanensis	GCA_043964395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/964/395/GCA_043964395.1_ASM4396439v1	GCF_043964395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/964/395/GCF_043964395.1_ASM4396439v1	2071710	Enterobacter sichuanensis	strain=ECC-263	latest	Complete Genome	2024-10-29	Pathogenic
Enterococcus faecalis	FFMG-346-07-21-Q15	NCBI	1351	E. faecalis	GCA_964208305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/208/305/GCA_964208305.1_FFMG_346-07-21-Q15.1	GCF_964208305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/208/305/GCF_964208305.1_FFMG_346-07-21-Q15.1	1351	Enterococcus faecalis	strain=FFMG-346-07-21-Q15	latest	Contig	2024-07-29	Pathogenic
Klebsiella pneumoniae	zj28031	NCBI	1463165	K. pneumoniae	GCA_040987545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/987/545/GCA_040987545.1_ASM4098754v1	GCF_040987545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/987/545/GCF_040987545.1_ASM4098754v1	1463165	Klebsiella quasipneumoniae	strain=zj28031	latest	Contig	2024-07-31	Pathogenic
Klebsiella pneumoniae	FUJ80036	NCBI	573	K. pneumoniae	GCA_044336675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/336/675/GCA_044336675.1_ASM4433667v1	GCF_044336675.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/044/336/675/GCF_044336675.1_ASM4433667v1	573	Klebsiella pneumoniae	strain=FUJ80036	latest	Complete Genome	2024-11-06	Pathogenic
Gardnerella vaginalis	1683_1263_1_CBA4	ENA	2702	G. vaginalis	GCA_042038945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/038/945/GCA_042038945.1_ASM4203894v1	GCF_042038945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/038/945/GCF_042038945.1_ASM4203894v1	2702	Gardnerella vaginalis	strain=1683_1263_1_CBA4	latest	Complete Genome	2024-09-20	Pathogenic
Enterobacter hormaechei	A4143	NCBI	158836	E. hormaechei	GCA_034929085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/034/929/085/GCA_034929085.1_ASM3492908v1	GCF_034929085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/034/929/085/GCF_034929085.1_ASM3492908v1	158836	Enterobacter hormaechei	strain=A4143	latest	Scaffold	2024-01-01	Pathogenic
Klebsiella pneumoniae	D3017	NCBI	573	K. pneumoniae	GCA_043834615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/834/615/GCA_043834615.1_ASM4383461v1	GCF_043834615.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/834/615/GCF_043834615.1_ASM4383461v1	573	Klebsiella pneumoniae	strain=D3017	latest	Contig	2024-10-25	Pathogenic
Vibrio cholerae	non-O1/non-O139	NCBI	666	V. cholerae	GCA_037150485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/037/150/485/GCA_037150485.1_ASM3715048v1	GCF_037150485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/037/150/485/GCF_037150485.1_ASM3715048v1	666	Vibrio cholerae	strain=non-O1/non-O139	latest	Scaffold	2024-03-14	Pathogenic
Klebsiella pneumoniae	KE9739	NCBI	573	K. pneumoniae	GCA_043829685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/829/685/GCA_043829685.1_ASM4382968v1	GCF_043829685.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/829/685/GCF_043829685.1_ASM4382968v1	573	Klebsiella pneumoniae	strain=KE9739	latest	Contig	2024-10-25	Pathogenic
Campylobacter jejuni	17746	NCBI	195	C. jejuni	GCA_042607195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/042/607/195/GCA_042607195.1_ASM4260719v1	GCF_042607195.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/042/607/195/GCF_042607195.1_ASM4260719v1	195	Campylobacter coli	strain=17746	latest	Scaffold	2024-10-03	Pathogenic
Klebsiella pneumoniae	KP_NORM_BLD_13757	NCBI	1463164	K. pneumoniae	GCA_041861505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/861/505/GCA_041861505.1_ASM4186150v1	GCF_041861505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/861/505/GCF_041861505.1_ASM4186150v1	1463164	Klebsiella quasipneumoniae subsp. similipneumoniae	strain=KP_NORM_BLD_13757	latest	Complete Genome	2024-09-09	Pathogenic
Citrobacter freundii	Citro00278	NCBI	546	C. freundii	GCA_964303545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/303/545/GCA_964303545.1_Citro00278-211014_contigs_filtered.fa.gz	GCF_964303545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/303/545/GCF_964303545.1_Citro00278-211014_contigs_filtered.fa.gz	546	Citrobacter freundii	strain=Citro00278	latest	Contig	2024-11-26	Pathogenic
Enterobacter chuandaensis	M23267	NCBI	2497875	E. chuandaensis	GCA_041982185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/982/185/GCA_041982185.1_ASM4198218v1	GCF_041982185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/982/185/GCF_041982185.1_ASM4198218v1	2497875	Enterobacter chuandaensis	strain=M23267	latest	Contig	2024-09-18	Pathogenic
Klebsiella pneumoniae	3761	NCBI	573	K. pneumoniae	GCA_035791795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/791/795/GCA_035791795.1_ASM3579179v1	GCF_035791795.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/035/791/795/GCF_035791795.1_ASM3579179v1	573	Klebsiella pneumoniae	strain=3761	latest	Contig	2024-01-17	Pathogenic
Providencia alcalifaciens	FFDD-707407-A	NCBI	584	P. alcalifaciens	GCA_964210515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/964/210/515/GCA_964210515.1_FFDD_707407-A.1	GCF_964210515.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/964/210/515/GCF_964210515.1_FFDD_707407-A.1	584	Proteus mirabilis	strain=FFDD-707407-A	latest	Contig	2024-07-30	Pathogenic
Salmonella enterica	2107512094C	NCBI	28901	S. enterica	GCA_041935645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/041/935/645/GCA_041935645.1_ASM4193564v1	GCF_041935645.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/935/645/GCF_041935645.1_ASM4193564v1	28901	Salmonella enterica	strain=2107512094C	latest	Complete Genome	2024-09-17	Pathogenic
Enterobacter cloacae	2202781	NCBI	550	E. cloacae	GCA_036954625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/954/625/GCA_036954625.1_ASM3695462v1	GCF_036954625.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/954/625/GCF_036954625.1_ASM3695462v1	550	Enterobacter cloacae	strain=2202781	latest	Scaffold	2024-03-01	Pathogenic
Acinetobacter baumannii	SIMBA035	NCBI	470	A. baumannii	GCA_040822385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/822/385/GCA_040822385.1_ASM4082238v1	GCF_040822385.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/822/385/GCF_040822385.1_ASM4082238v1	470	Acinetobacter baumannii	strain=SIMBA035	latest	Complete Genome	2024-07-24	Pathogenic
Acinetobacter baumannii	UAB_Ab_061	NCBI	470	A. baumannii	GCA_040445545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/445/545/GCA_040445545.1_ASM4044554v1	GCF_040445545.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/445/545/GCF_040445545.1_ASM4044554v1	470	Acinetobacter baumannii	strain=UAB_Ab_061	latest	Contig	2024-07-01	Pathogenic
Enterobacter hormaechei	dmeb_c465b	NCBI	158836	E. hormaechei	GCA_040276325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/040/276/325/GCA_040276325.1_ASM4027632v1	GCF_040276325.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/040/276/325/GCF_040276325.1_ASM4027632v1	158836	Enterobacter hormaechei	strain=dmeb_c465b	latest	Contig	2024-06-24	Pathogenic
Citrobacter freundii	KE9675	NCBI	545	C. freundii	GCA_043830555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/830/555/GCA_043830555.1_ASM4383055v1	GCF_043830555.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/830/555/GCF_043830555.1_ASM4383055v1	545	Citrobacter koseri	strain=KE9675	latest	Contig	2024-10-25	Pathogenic
Escherichia coli	63365_sr	NCBI	562	E. coli	GCA_043853395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/853/395/GCA_043853395.1_ASM4385339v1	GCF_043853395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/853/395/GCF_043853395.1_ASM4385339v1	562	Escherichia coli	strain=63365_sr	latest	Contig	2024-10-25	Pathogenic
Clostridium perfringens	1-147	ENA, NCBI	1502	C. perfringens	GCA_043854975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/043/854/975/GCA_043854975.1_ASM4385497v1	GCF_043854975.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/043/854/975/GCF_043854975.1_ASM4385497v1	1502	Clostridium perfringens	strain=1-147	latest	Scaffold	2024-10-25	Pathogenic
Escherichia coli	MRSN951895	NCBI	562	E. coli	GCA_036036005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/036/036/005/GCA_036036005.1_ASM3603600v1	GCF_036036005.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/036/005/GCF_036036005.1_ASM3603600v1	562	Escherichia coli	strain=MRSN951895	latest	Contig	2024-01-24	Pathogenic
Escherichia coli	RTP21489st1_D8_RTP21489_200313	NCBI	562	E. coli	GCA_039751915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/751/915/GCA_039751915.1_ASM3975191v1	GCF_039751915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/039/751/915/GCF_039751915.1_ASM3975191v1	562	Escherichia coli	strain=RTP21489st1_D8_RTP21489_200313	latest	Scaffold	2024-05-21	Pathogenic
