Species_DBs	Strain_DBs	Origin DB	Reason Phenotype	Taxonomy ID	Species abb.	# assembly_accession_genbank	ftp_path_genbank	PathoPhenotype	# assembly_accession_refseq	bioproject_refseq	biosample_refseq	wgs_master_refseq	refseq_category_refseq	taxid_refseq	species_taxid_refseq	organism_name_refseq	infraspecific_name_refseq	isolate_refseq	version_status_refseq	assembly_level_refseq	release_type_refseq	genome_rep_refseq	seq_rel_date_refseq	asm_name_refseq	submitter_refseq	gbrs_paired_asm_refseq	paired_asm_comp_refseq	ftp_path_refseq	excluded_from_refseq_refseq	relation_to_type_material_refseq	asm_not_live_date_refseq	Species_Refseq	Entry	Full name	File	refseq_iden	cluster	partition	File_Embedding	Protein Count
Mycolicibacterium fortuitum	Z58	Patric (diseases)		1451190.0	M. fortuitum	GCA_000611915.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/611/915/GCA_000611915.1_Mycobacterium_fortuitum_Z58	Pathogenic	GCF_000611915.1	PRJNA224116	SAMN02592736	JASW00000000.1	na	1185650	36809	Mycobacteroides abscessus subsp. abscessus	strain=Z58		latest	Contig	Major	Full	2014/04/01	Mycobacterium fortuitum Z58	zhejiang university	GCA_000611915.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/611/915/GCF_000611915.1_Mycobacterium_fortuitum_Z58			na	Mycobacteroides abscessus	NZ_JASW01000001.1	Mycobacteroides abscessus subsp. abscessus strain Z58 contig_1, whole genome shotgun sequence	GCF_000611915.1_Mycobacterium_fortuitum_Z58_genomic.fna.gz 	GCF_000611915.1	246	2	GCF_000/GCF_000611915.1_Mycobacterium_fortuitum_Z58_genomic.h5	4761
Chryseobacterium oranimense	G311	Patric (diseases)		1300143.0	C. oranimense	GCA_000612925.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/612/925/GCA_000612925.1_G311	Pathogenic	GCF_000612925.1	PRJNA224116	SAMEA3138983	CCAV000000000.1	na	1300143	421058	Chryseobacterium oranimense G311	strain=G311		latest	Contig	Major	Full	2014/03/19	G311	ebi	GCA_000612925.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/612/925/GCF_000612925.1_G311			na	Chryseobacterium oranimense	NZ_CCAV010000001.1	Chryseobacterium oranimense G311, whole genome shotgun sequence	GCF_000612925.1_G311_genomic.fna.gz 	GCF_000612925.1	12582	4	GCF_000/GCF_000612925.1_G311_genomic.h5	4394
Escherichia coli	1-176-05_S4_C3	NCBI	NCBIPathogenDBB	1444273.0	E. coli	GCA_000627135.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/135/GCA_000627135.1_ASM62713v1	Pathogenic	GCF_000627135.1	PRJNA224116	SAMN02680094	JJLI00000000.1	na	1444273	562	Escherichia coli 1-176-05_S4_C3	strain=1-176-05_S4_C3		latest	Contig	Major	Full	2014/04/11	ASM62713v1	IGS	GCA_000627135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/135/GCF_000627135.1_ASM62713v1			na	Escherichia coli	NZ_JJLI01000001.1	Escherichia coli 1-176-05_S4_C3 e117605S4C3.contig.0_1, whole genome shotgun sequence	GCF_000627135.1_ASM62713v1_genomic.fna.gz 	GCF_000627135.1	9	5	GCF_000/GCF_000627135.1_ASM62713v1_genomic.h5	5055
Escherichia coli	1-250-04_S4_C1	NCBI	NCBIPathogenDBB	1444218.0	E. coli	GCA_000627155.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/155/GCA_000627155.1_ASM62715v1	Pathogenic	GCF_000627155.1	PRJNA224116	SAMN02680180	JJLO00000000.1	na	1444218	562	Escherichia coli 1-250-04_S4_C1	strain=1-250-04_S4_C1		latest	Contig	Major	Full	2014/04/11	ASM62715v1	IGS	GCA_000627155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/155/GCF_000627155.1_ASM62715v1			na	Escherichia coli	NZ_JJLO01000001.1	Escherichia coli 1-250-04_S4_C1 e125004S4C1.contig.1_1, whole genome shotgun sequence	GCF_000627155.1_ASM62715v1_genomic.fna.gz 	GCF_000627155.1	9	5	GCF_000/GCF_000627155.1_ASM62715v1_genomic.h5	5098
Escherichia coli	1-182-04_S4_C1	NCBI	NCBIPathogenDBB	1444217.0	E. coli	GCA_000627175.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/175/GCA_000627175.1_ASM62717v1	Pathogenic	GCF_000627175.1	PRJNA224116	SAMN02680214	JJLP00000000.1	na	1444217	562	Escherichia coli 1-182-04_S4_C1	strain=1-182-04_S4_C1		latest	Contig	Major	Full	2014/04/11	ASM62717v1	IGS	GCA_000627175.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/175/GCF_000627175.1_ASM62717v1			na	Escherichia coli	NZ_JJLP01000001.1	Escherichia coli 1-182-04_S4_C1 e118204S4C1.contig.0_1, whole genome shotgun sequence	GCF_000627175.1_ASM62717v1_genomic.fna.gz 	GCF_000627175.1	9	5	GCF_000/GCF_000627175.1_ASM62717v1_genomic.h5	4833
Escherichia coli	1-392-07_S4_C2	NCBI	NCBIPathogenDBB	1444247.0	E. coli	GCA_000627255.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/255/GCA_000627255.1_ASM62725v1	Pathogenic	GCF_000627255.1	PRJNA224116	SAMN02687496	JJLK00000000.1	na	1444247	562	Escherichia coli 1-392-07_S4_C2	strain=1-392-07_S4_C2		latest	Contig	Major	Full	2014/04/11	ASM62725v1	IGS	GCA_000627255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/255/GCF_000627255.1_ASM62725v1			na	Escherichia coli	NZ_JJLK01000001.1	Escherichia coli 1-392-07_S4_C2 e139207S4C2.contig.0_1, whole genome shotgun sequence	GCF_000627255.1_ASM62725v1_genomic.fna.gz 	GCF_000627255.1	9	5	GCF_000/GCF_000627255.1_ASM62725v1_genomic.h5	4741
Escherichia coli	2-011-08_S1_C2	NCBI	NCBIPathogenDBB	1444065.0	E. coli	GCA_000627885.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/885/GCA_000627885.1_ASM62788v1	Pathogenic	GCF_000627885.1	PRJNA224116	SAMN02680264	JJMB00000000.1	na	1444065	562	Escherichia coli 2-011-08_S1_C2	strain=2-011-08_S1_C2		latest	Contig	Major	Full	2014/04/11	ASM62788v1	IGS	GCA_000627885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/885/GCF_000627885.1_ASM62788v1			na	Escherichia coli	NZ_JJMB01000001.1	Escherichia coli 2-011-08_S1_C2 e201108S1C2.contig.0_1, whole genome shotgun sequence	GCF_000627885.1_ASM62788v1_genomic.fna.gz 	GCF_000627885.1	9	5	GCF_000/GCF_000627885.1_ASM62788v1_genomic.h5	5080
Escherichia coli	1-176-05_S1_C3	NCBI	NCBIPathogenDBB	1444105.0	E. coli	GCA_000627945.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/945/GCA_000627945.1_ASM62794v1	Pathogenic	GCF_000627945.1	PRJNA224116	SAMN02687501	JJLY00000000.1	na	1444105	562	Escherichia coli 1-176-05_S1_C3	strain=1-176-05_S1_C3		latest	Contig	Major	Full	2014/04/11	ASM62794v1	IGS	GCA_000627945.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/945/GCF_000627945.1_ASM62794v1			na	Escherichia coli	NZ_JJLY01000001.1	Escherichia coli 1-176-05_S1_C3 e117605S1C3.contig.0_1, whole genome shotgun sequence	GCF_000627945.1_ASM62794v1_genomic.fna.gz 	GCF_000627945.1	9	5	GCF_000/GCF_000627945.1_ASM62794v1_genomic.h5	4934
Escherichia coli	1-182-04_S3_C1	NCBI	NCBIPathogenDBB	1444134.0	E. coli	GCA_000627965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/627/965/GCA_000627965.1_ASM62796v1	Pathogenic	GCF_000627965.1	PRJNA224116	SAMN02687483	JJLV00000000.1	na	1444134	562	Escherichia coli 1-182-04_S3_C1	strain=1-182-04_S3_C1		latest	Contig	Major	Full	2014/04/11	ASM62796v1	IGS	GCA_000627965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/627/965/GCF_000627965.1_ASM62796v1			na	Escherichia coli	NZ_JJLV01000001.1	Escherichia coli 1-182-04_S3_C1 e118204S3C1.contig.0_1, whole genome shotgun sequence	GCF_000627965.1_ASM62796v1_genomic.fna.gz 	GCF_000627965.1	9	5	GCF_000/GCF_000627965.1_ASM62796v1_genomic.h5	5161
Streptococcus pyogenes//Streptococcus pyogenes ABC020052309	ABC020052309	ENA, NCBI	ENADB, NCBIPathogenDBB	1439211.0	Streptococcus pyogenes//Streptococcus pyogenes ABC020052309	GCA_000628085.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/628/085/GCA_000628085.1_Stre_pyog_ABC020052309_V1	Pathogenic	GCF_000628085.1	PRJNA224116	SAMN02567372	JJJS00000000.1	na	1439211	1314	Streptococcus pyogenes ABC020052309	strain=ABC020052309		latest	Contig	Major	Full	2014/04/14	Stre_pyog_ABC020052309_V1	Broad Institute	GCA_000628085.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/628/085/GCF_000628085.1_Stre_pyog_ABC020052309_V1			na	Streptococcus pyogenes	NZ_JJJS01000001.1	Streptococcus pyogenes ABC020052309 adVpi-supercont1.1, whole genome shotgun sequence	GCF_000628085.1_Stre_pyog_ABC020052309_V1_genomic.fna.gz 	GCF_000628085.1	29	4	GCF_000/GCF_000628085.1_Stre_pyog_ABC020052309_V1_genomic.h5	1763
Pseudomonas aeruginosa//Pseudomonas aeruginosa BWH033	BWH033	ENA, NCBI	ENADB, NCBIPathogenDBB	1447541.0	Pseudomonas aeruginosa//Pseudomonas aeruginosa BWH033	GCA_000629065.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/065/GCA_000629065.1_Pseu_aeru_BWH033_V1	Pathogenic	GCF_000629065.1	PRJNA224116	SAMN02584699	JIEA00000000.1	na	1447541	287	Pseudomonas aeruginosa BWH033	strain=BWH033		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_BWH033_V1	Broad Institute	GCA_000629065.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/065/GCF_000629065.1_Pseu_aeru_BWH033_V1			na	Pseudomonas aeruginosa	NZ_KK212077.1	Pseudomonas aeruginosa BWH033 adTzk-supercont1.1, whole genome shotgun sequence	GCF_000629065.1_Pseu_aeru_BWH033_V1_genomic.fna.gz 	GCF_000629065.1	3	4	GCF_000/GCF_000629065.1_Pseu_aeru_BWH033_V1_genomic.h5	6201
Pseudomonas aeruginosa 3578//Pseudomonas aeruginosa	3578	ENA, NCBI	ENADB, NCBIPathogenDBB	1447533.0	Pseudomonas aeruginosa 3578//Pseudomonas aeruginosa	GCA_000629225.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/225/GCA_000629225.1_Pseu_aeru_3578_V1	Pathogenic	GCF_000629225.1	PRJNA224116	SAMN02584691	JIEI00000000.1	na	1447533	287	Pseudomonas aeruginosa 3578	strain=3578		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_3578_V1	Broad Institute	GCA_000629225.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/225/GCF_000629225.1_Pseu_aeru_3578_V1			na	Pseudomonas aeruginosa	NZ_KK212645.1	Pseudomonas aeruginosa 3578 adTxa-supercont1.1, whole genome shotgun sequence	GCF_000629225.1_Pseu_aeru_3578_V1_genomic.fna.gz 	GCF_000629225.1	3	4	GCF_000/GCF_000629225.1_Pseu_aeru_3578_V1_genomic.h5	6338
Pseudomonas aeruginosa//Pseudomonas aeruginosa 3574	3574	ENA, NCBI	ENADB, NCBIPathogenDBB	1447529.0	Pseudomonas aeruginosa//Pseudomonas aeruginosa 3574	GCA_000629305.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/305/GCA_000629305.1_Pseu_aeru_3574_V1	Pathogenic	GCF_000629305.1	PRJNA224116	SAMN02584687	JIEM00000000.1	na	1447529	287	Pseudomonas aeruginosa 3574	strain=3574		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_3574_V1	Broad Institute	GCA_000629305.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/305/GCF_000629305.1_Pseu_aeru_3574_V1			na	Pseudomonas aeruginosa	NZ_KK212977.1	Pseudomonas aeruginosa 3574 adTzr-supercont1.1, whole genome shotgun sequence	GCF_000629305.1_Pseu_aeru_3574_V1_genomic.fna.gz 	GCF_000629305.1	3	4	GCF_000/GCF_000629305.1_Pseu_aeru_3574_V1_genomic.h5	5963
Pseudomonas aeruginosa PS75//Pseudomonas aeruginosa	PS75	ENA, NCBI	ENADB, NCBIPathogenDBB	1418247.0	Pseudomonas aeruginosa PS75//Pseudomonas aeruginosa	GCA_000629365.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/365/GCA_000629365.1_Pseu_aeru_PS75_V1	Pathogenic	GCF_000629365.1	PRJNA224116	SAMN02402445	JIEP00000000.1	na	1418247	287	Pseudomonas aeruginosa PS75	strain=PS75		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_PS75_V1	Broad Institute	GCA_000629365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/365/GCF_000629365.1_Pseu_aeru_PS75_V1			na	Pseudomonas aeruginosa	NZ_KK213160.1	Pseudomonas aeruginosa PS75 adTyT-supercont1.1, whole genome shotgun sequence	GCF_000629365.1_Pseu_aeru_PS75_V1_genomic.fna.gz 	GCF_000629365.1	3	4	GCF_000/GCF_000629365.1_Pseu_aeru_PS75_V1_genomic.h5	5776
Pseudomonas aeruginosa BWH056//Pseudomonas aeruginosa	BWH056	ENA, NCBI	ENADB, NCBIPathogenDBB	1418242.0	Pseudomonas aeruginosa BWH056//Pseudomonas aeruginosa	GCA_000629465.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/465/GCA_000629465.1_Pseu_aeru_BWH056_V1	Pathogenic	GCF_000629465.1	PRJNA224116	SAMN02402440	JIEU00000000.1	na	1418242	287	Pseudomonas aeruginosa BWH056	strain=BWH056		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_BWH056_V1	Broad Institute	GCA_000629465.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/465/GCF_000629465.1_Pseu_aeru_BWH056_V1			na	Pseudomonas aeruginosa	NZ_KK213202.1	Pseudomonas aeruginosa BWH056 adTwB-supercont1.1, whole genome shotgun sequence	GCF_000629465.1_Pseu_aeru_BWH056_V1_genomic.fna.gz 	GCF_000629465.1	3	4	GCF_000/GCF_000629465.1_Pseu_aeru_BWH056_V1_genomic.h5	6343
Pseudomonas aeruginosa//Pseudomonas aeruginosa BWH055	BWH055	ENA, NCBI	ENADB, NCBIPathogenDBB	1418241.0	Pseudomonas aeruginosa//Pseudomonas aeruginosa BWH055	GCA_000629485.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/485/GCA_000629485.1_Pseu_aeru_BWH055_V1	Pathogenic	GCF_000629485.1	PRJNA224116	SAMN02402439	JIEV00000000.1	na	1418241	287	Pseudomonas aeruginosa BWH055	strain=BWH055		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_BWH055_V1	Broad Institute	GCA_000629485.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/485/GCF_000629485.1_Pseu_aeru_BWH055_V1			na	Pseudomonas aeruginosa	NZ_KK213219.1	Pseudomonas aeruginosa BWH055 adTzt-supercont1.1, whole genome shotgun sequence	GCF_000629485.1_Pseu_aeru_BWH055_V1_genomic.fna.gz 	GCF_000629485.1	3	4	GCF_000/GCF_000629485.1_Pseu_aeru_BWH055_V1_genomic.h5	5841
Pseudomonas aeruginosa BWH054//Pseudomonas aeruginosa	BWH054	ENA, NCBI	ENADB, NCBIPathogenDBB	1418240.0	Pseudomonas aeruginosa BWH054//Pseudomonas aeruginosa	GCA_000629505.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/629/505/GCA_000629505.1_Pseu_aeru_BWH054_V1	Pathogenic	GCF_000629505.1	PRJNA224116	SAMN02402438	JIEW00000000.1	na	1418240	287	Pseudomonas aeruginosa BWH054	strain=BWH054		latest	Scaffold	Major	Full	2014/04/14	Pseu_aeru_BWH054_V1	Broad Institute	GCA_000629505.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/629/505/GCF_000629505.1_Pseu_aeru_BWH054_V1			na	Pseudomonas aeruginosa	NZ_KK213223.1	Pseudomonas aeruginosa BWH054 adTyv-supercont1.1, whole genome shotgun sequence	GCF_000629505.1_Pseu_aeru_BWH054_V1_genomic.fna.gz 	GCF_000629505.1	3	4	GCF_000/GCF_000629505.1_Pseu_aeru_BWH054_V1_genomic.h5	6595
Enterococcus faecium//Enterococcus faecium VRE0576//Enterococcus faecium	//VRE0576	ENA, NCBI, Patric (diseases)	ENADB, NCBIPathogenDBB, 	1442604.0	Enterococcus faecium//Enterococcus faecium VRE0576//Enterococcus faecium	GCA_000632295.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/295/GCA_000632295.1_VRE0576_1.0	Pathogenic	GCF_000632295.1	PRJNA224116	SAMN02567742	JAAK00000000.1	na	1442604	1352	Enterococcus faecium VRE0576	strain=VRE0576		latest	Contig	Major	Full	2014/04/14	VRE0576_1.0	Swedish Institue for Communicable Disease Control	GCA_000632295.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/295/GCF_000632295.1_VRE0576_1.0			na	Enterococcus faecium	NZ_JAAK01000001.1	Enterococcus faecium VRE0576 contig00001, whole genome shotgun sequence, sodium ion sensor (duf1646 type); this cis-regulatory element may regulate processes involved in with the transportation of sodium ions	GCF_000632295.1_VRE0576_1.0_genomic.fna.gz 	GCF_000632295.1	25	1	GCF_000/GCF_000632295.1_VRE0576_1.0_genomic.h5	3168
Ehrlichia chaffeensis str. Osceola//Ehrlichia chaffeensis	Osceola	ENA, Patric (diseases)	ENADB, 	1249654.0	Ehrlichia chaffeensis str. Osceola//Ehrlichia chaffeensis	GCA_000632905.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/632/905/GCA_000632905.1_ASM63290v1	Pathogenic	GCF_000632905.1	PRJNA224116	SAMN02364994		na	1249654	945	Ehrlichia chaffeensis str. Osceola	strain=Osceola		latest	Complete Genome	Major	Full	2014/04/17	ASM63290v1	IGS	GCA_000632905.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/905/GCF_000632905.1_ASM63290v1			na	Ehrlichia chaffeensis	NZ_CP007477.1	Ehrlichia chaffeensis str. Osceola chromosome, complete genome	GCF_000632905.1_ASM63290v1_genomic.fna.gz 	GCF_000632905.1	11911	5	GCF_000/GCF_000632905.1_ASM63290v1_genomic.h5	936
Haemophilus influenzae	584	ENA	ENADB	727.0	H. influenzae	GCA_000636035.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/636/035/GCA_000636035.1_NTHi584v1	Pathogenic	GCF_000636035.1	PRJNA224116	SAMN02678121	JFZL00000000.1	na	727	727	Haemophilus influenzae	strain=584		latest	Contig	Major	Full	2014/04/22	NTHi584v1	University of British Columbia	GCA_000636035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/636/035/GCF_000636035.1_NTHi584v1			na	Haemophilus influenzae	NZ_JFZL01000001.1	Haemophilus influenzae strain 584 contig-0, whole genome shotgun sequence	GCF_000636035.1_NTHi584v1_genomic.fna.gz 	GCF_000636035.1	281	2	GCF_000/GCF_000636035.1_NTHi584v1_genomic.h5	1687
Staphylococcus aureus//Staphylococcus aureus VET0110R	VET0110R	ENA, NCBI	ENADB, NCBIPathogenDBB	1422438.0	Staphylococcus aureus//Staphylococcus aureus VET0110R	GCA_000641395.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/641/395/GCA_000641395.1_Stap_aure_VET0110R_V1	Pathogenic	GCF_000641395.1	PRJNA224116	SAMN02404021	JITK00000000.1	na	1422438	1280	Staphylococcus aureus VET0110R	strain=VET0110R		latest	Scaffold	Major	Full	2014/04/23	Stap_aure_VET0110R_V1	Broad Institute	GCA_000641395.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/641/395/GCF_000641395.1_Stap_aure_VET0110R_V1			na	Staphylococcus aureus	NZ_KK228316.1	Staphylococcus aureus VET0110R adZzp-supercont1.1, whole genome shotgun sequence	GCF_000641395.1_Stap_aure_VET0110R_V1_genomic.fna.gz 	GCF_000641395.1	67	3	GCF_000/GCF_000641395.1_Stap_aure_VET0110R_V1_genomic.h5	2576
Staphylococcus aureus VET1024S//Staphylococcus aureus	VET1024S	ENA, NCBI	ENADB, NCBIPathogenDBB	1422769.0	Staphylococcus aureus VET1024S//Staphylococcus aureus	GCA_000645595.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/645/595/GCA_000645595.1_Stap_aure_VET1024S_V1	Pathogenic	GCF_000645595.1	PRJNA224116	SAMN02404352	JIJK00000000.1	na	1422769	1280	Staphylococcus aureus VET1024S	strain=VET1024S		latest	Scaffold	Major	Full	2014/04/23	Stap_aure_VET1024S_V1	Broad Institute	GCA_000645595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/645/595/GCF_000645595.1_Stap_aure_VET1024S_V1			na	Staphylococcus aureus	NZ_KK237156.1	Staphylococcus aureus VET1024S adZIb-supercont1.1, whole genome shotgun sequence	GCF_000645595.1_Stap_aure_VET1024S_V1_genomic.fna.gz 	GCF_000645595.1	67	3	GCF_000/GCF_000645595.1_Stap_aure_VET1024S_V1_genomic.h5	2575
Escherichia coli	I-151	NCBI, Patric (diseases)	NCBIPathogenDBB, 	1314848.0	E. coli	GCA_000647475.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/647/475/GCA_000647475.1_I-151_clc_bio_denovo	Pathogenic	GCF_000647475.1	PRJNA224116	SAMN02732277	AQGO00000000.1	na	1314848	562	Escherichia coli STEC O174:H46 str. I-151	strain=I-151		latest	Contig	Major	Full	2014/04/23	I-151 clc bio denovo	University Hospital Muenster	GCA_000647475.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/647/475/GCF_000647475.1_I-151_clc_bio_denovo			na	Escherichia coli	NZ_AQGO01000001.1	Escherichia coli STEC O174:H46 str. I-151 contig_1, whole genome shotgun sequence	GCF_000647475.1_I-151_clc_bio_denovo_genomic.fna.gz 	GCF_000647475.1	9	5	GCF_000/GCF_000647475.1_I-151_clc_bio_denovo_genomic.h5	4796
Salmonella enterica subsp. enterica serovar 9,12:l,v:- str. 94293//Salmonella enterica//Salmonella enterica	94293	ENA, ENA, NCBI, Patric (diseases)	ENADB, ENADB, NCBIPathogenDBB, 	1387330.0	Salmonella enterica subsp. enterica serovar 9,12:l,v:- str. 94293//Salmonella enterica//Salmonella enterica	GCA_000648375.2	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/375/GCA_000648375.2_94293_Ver1	Pathogenic	GCF_000648375.2	PRJNA224116	SAMN02691620	JGYE00000000.1	na	1387330	28901	Salmonella enterica subsp. enterica serovar 9,12:l,v:- str. 94293	strain=94293		latest	Scaffold	Minor	Full	2014/04/25	94293 Ver1	University of California Irvine	GCA_000648375.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/375/GCF_000648375.2_94293_Ver1			na	Salmonella enterica	NZ_JGYE01000001.1	Salmonella enterica subsp. enterica serovar 9,12:l,v:- str. 94293 94293_L8.LB25_1, whole genome shotgun sequence	GCF_000648375.2_94293_Ver1_genomic.fna.gz 	GCF_000648375.2	52	1	GCF_000/GCF_000648375.2_94293_Ver1_genomic.h5	4476
Streptococcus pyogenes	SP7-LAU	NCBI	NCBIPathogenDBB	1390082.0	S. pyogenes	GCA_000648875.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/875/GCA_000648875.1_Draft_SP7-LAU_Genome	Pathogenic	GCF_000648875.1	PRJNA224116	SAMN02741842	AWPE00000000.1	na	1390082	1314	Streptococcus pyogenes SP7-LAU	strain=SP7-LAU		latest	Contig	Major	Full	2014/04/28	Draft SP7-LAU Genome	Lebanese American University	GCA_000648875.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/875/GCF_000648875.1_Draft_SP7-LAU_Genome			na	Streptococcus pyogenes	NZ_AWPE01000001.1	Streptococcus pyogenes SP7-LAU contig_1, whole genome shotgun sequence	GCF_000648875.1_Draft_SP7-LAU_Genome_genomic.fna.gz 	GCF_000648875.1	29	4	GCF_000/GCF_000648875.1_Draft_SP7-LAU_Genome_genomic.h5	2033
Bordetella bronchiseptica//Bordetella bronchiseptica OSU054	OSU054	ENA, Patric (diseases)	ENADB, 	1331254.0	Bordetella bronchiseptica//Bordetella bronchiseptica OSU054	GCA_000648965.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/648/965/GCA_000648965.1_gbb58v01	Pathogenic	GCF_000648965.1	PRJNA224116	SAMN02231293	JHBZ00000000.1	na	1331254	518	Bordetella bronchiseptica OSU054	strain=OSU054		latest	Contig	Major	Full	2014/04/29	gbb58v01	JCVI	GCA_000648965.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/648/965/GCF_000648965.1_gbb58v01			na	Bordetella bronchiseptica	NZ_JHBZ01000001.1	Bordetella bronchiseptica OSU054 deg7180000004936, whole genome shotgun sequence	GCF_000648965.1_gbb58v01_genomic.fna.gz 	GCF_000648965.1	1835	5	GCF_000/GCF_000648965.1_gbb58v01_genomic.h5	5142
Bordetella bronchiseptica//Bordetella bronchiseptica MO211	MO211	ENA, Patric (diseases)	ENADB, 	1331239.0	Bordetella bronchiseptica//Bordetella bronchiseptica MO211	GCA_000649185.1	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/649/185/GCA_000649185.1_gbb43v01	Pathogenic	GCF_000649185.1	PRJNA224116	SAMN02231425	JHOJ00000000.1	na	1331239	518	Bordetella bronchiseptica MO211	strain=MO211		latest	Contig	Major	Full	2014/04/29	gbb43v01	JCVI	GCA_000649185.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/649/185/GCF_000649185.1_gbb43v01			na	Bordetella bronchiseptica	NZ_JHOJ01000001.1	Bordetella bronchiseptica MO211 ctg50, whole genome shotgun sequence	GCF_000649185.1_gbb43v01_genomic.fna.gz 	GCF_000649185.1	1835	5	GCF_000/GCF_000649185.1_gbb43v01_genomic.h5	4805
